julianHr,MSky,MIllm,TIllm,tempc1,windmps1,rainmm1,vism1
429528,,,,-1.51747374049011,1.68459961290837,-0.152921408386989,0.140049581767478
429529,,,,-1.70067479099272,2.06252965367227,-0.358436275920987,0.521394468862809
429530,,,,-1.93464730783772,1.52062105878285,-0.37464723485702,0.430626078987984
429531,,,,-2.12999828042555,0.864175793224412,-0.434978097007624,0.372581324829382
429532,,,,-2.25450830419942,0.686371092808536,-0.378263643699962,0.398011919365196
429533,,,,-2.35656281012961,0.455137238923483,-0.382319517280443,0.466882724685025
429534,,,,-2.52999441323915,-0.545341879218159,-0.392227330306364,0.330142476920455
429535,,,,-2.56083781480804,0.534628419486167,-0.322838140136025,0.51757640630453
429536,,,,-2.77320253630445,-0.803060621069524,-0.281518400920657,0.485443527482076
429537,,,,-2.76571865324264,-0.640970180406995,-0.273533669832374,0.465008991491039
429538,,,,-2.79212883270238,-0.845417073866479,-0.276906362950345,0.500721981049769
429539,,,,-2.81864915610367,-0.0818553860326857,-0.272588433826741,0.410280761556623
429540,,,,-2.73204684594162,0.471260804443326,-0.298856228133792,0.427949528681857
429541,,,,-2.89866273428778,-0.699998080974482,-0.273743043032413,0.463297432455511
429542,,,,-2.76888763804438,0.176995172845207,-0.322469290439321,0.530697259647961
429543,,,,-2.65578380407704,-0.467144635007919,-0.278120954535757,0.436963868154558
429544,,,,-2.39433773646952,-0.166595399312525,-0.291820958679004,0.491455435802089
429545,,,,-2.16052582163542,-1.08401816483439,0.0107344996698552,-0.214638148863222
429546,,,,-1.89326494003371,-0.67540492564874,-0.260411438010581,0.461550097443593
429547,,,,-1.82119759656853,-1.52171585063605,-0.220330057876022,0.475708511898874
429548,,,,-1.79213554315448,-1.64314572261914,-0.194676214533028,0.433231322095117
429549,,,,-1.70237856648387,-1.36026515383689,-0.145925198767892,0.270438663127916
429550,,,,-1.68283895551547,-1.31276568023675,-0.206305153578158,0.436248800265433
429551,,,,-1.81135732067214,-1.47966360293943,-0.210211039317101,0.407958452081405
429552,,,,-1.90414301102775,-1.54924930241764,-0.217226661314329,0.447091471535208
429553,,,,-2.00412753465569,-1.50280029365744,-0.235161828184404,0.454437928444814
429554,,,,-2.08673538059624,-1.05899810317162,-0.166404278860361,0.275985679627108
429555,,,,-2.10194779248381,-1.10789765423717,-0.228299204605914,0.41038871582601
429556,,,,-2.15366876497331,-1.00003684348056,-0.252247123382812,0.447573386642396
429557,,,,-2.23759917988365,-0.988973727388078,-0.254708305651562,0.446365834997518
429558,,,,-2.24073835357104,-0.912737298075065,-0.254558194728333,0.473423161657505
429559,,,,-2.21193648861205,-0.801271752549958,-0.243535468133219,0.407448993901036
429560,,,,-2.24676221224525,-1.15910659840483,-0.236118698510719,0.450549957106098
429561,,,,-2.22033903893882,-1.11358596515468,-0.245158274752272,0.456700328899907
429562,,,,-2.17604164903741,-1.0399185150559,-0.10056464044238,0.151565116307796
429563,,,,-2.07854722603893,-0.878960462270689,0.0364588853762919,-0.26390187429687
429564,,,,-2.0988263248816,-1.6106934577813,-0.0370918323221042,-0.21065723037829
429565,,,,-2.00455132645634,-1.18985096473557,-0.0698059429896952,-0.0326184582951397
429566,,,,-2.03562214929671,-1.12239563575689,-0.219537978187247,0.4476931997894
429567,,,,-2.00090724066964,-1.56289888819544,-0.220817843143194,0.441731689597818
429568,,,,-1.86481465200331,-1.62357914730312,0.00903061481212592,-0.232083382914836
429569,,,,-1.59760261222217,-1.44362919537613,-0.138793088214207,0.26894772575615
429570,,,,-1.47370384241038,-1.52750801804672,-0.198335759102619,0.405998356746954
429571,,,,-1.39598467195843,-1.58398319644258,-0.186324200085884,0.412060896002899
429572,,,,-1.30157590218795,-1.11478305896648,-0.209975962849108,0.455667961557643
429573,,,,-1.23648039167116,-0.846414170412567,-0.055965366142097,0.0789427597003192
429574,,,,-1.1754217814232,-0.768392045518434,-0.0968730021890913,0.115066271971749
429575,,,,-1.26428659502964,-0.663232649233482,-0.165464364480313,0.279297971437789
429576,,,,-1.45576440454484,-1.16664372807627,-0.138392544064142,0.243148670147636
429577,,,,-1.55687951185889,-1.23959884994932,-0.152682858354669,0.282058383241312
429578,,,,-1.6249325535456,-0.873575611773635,-0.184761853625509,0.321510901810549
429579,,,,-1.74409672234278,-1.14645513575752,-0.102189037154352,0.119463093436606
429580,,,,-1.64931585751498,-0.705923128523088,-0.0315024284934418,-0.0220622521273829
429581,,,,-1.66838645960878,-1.03399035234149,-0.0873828089321967,0.130329638481856
429582,,,,-1.75399954185018,-1.27782378307557,-0.140251808691732,0.249005835114484
429583,,,,-1.79068273818928,-1.60358166697532,-0.0361419023787142,0.00481170111696124
429584,,,,-1.79306520029389,-1.56067372553564,-0.164035035614186,0.315499361784279
429585,,,,-1.69068527429399,-1.55664783424585,-0.152786391828091,0.300464073607541
429586,,,,-1.71802574538217,-1.30057966586787,-0.136191959118061,0.222197986389399
429587,,,,-1.73456891276426,-1.51795205992708,-0.115162445712277,0.177437245601549
429588,,,,-1.76251589316726,-1.41669761108386,-0.108670336197385,0.128566899757784
429589,,,,-1.7691653324599,-1.62754733048858,-0.0507762744145417,-0.103091931463976
429590,,,,-1.83871446167318,-1.62622611260481,-0.159218469082599,-0.0355962585280586
429591,,,,-1.70495009987966,-1.38787822889033,-0.181579964811806,-0.148045365089838
429592,,,,-1.55556601476927,-1.57168054521986,0.294548064536295,-0.828121575257788
429593,,,,-1.38823829972713,-1.60489958597048,0.218449326317632,-0.628453923699513
429594,,,,-1.27042876594273,-1.39529968448068,0.191027207604167,-0.571052434799359
429595,,,,-1.07634389165943,-1.25108387469995,0.00423791010014163,-0.116761740424725
429596,,,,-0.925580466616371,-0.887901631039965,-0.117008224098469,0.212237874492226
429597,,,,-0.835803267077623,-0.625601949030224,-0.216067854988181,0.436544030830555
429598,,,,-0.825184071361705,-0.670080719529553,-0.234399097690837,0.428671149102238
429599,,,,-1.14822709643377,-1.10123716108659,-0.227157402391498,0.427639560058454
429600,,,,-1.22682536472007,-1.1050295854302,-0.208764396184088,0.409857665572991
429601,,,,-1.31100198268995,-1.11795732802718,-0.235144606160288,0.429640630872509
429602,,,,-1.2845869841123,-0.874223795215664,-0.215954088160683,0.418421789979068
429603,,,,-1.33155887250883,-1.05722800676702,-0.214794758990302,0.44953216024954
429604,,,,-1.34631588616059,-0.946053494100489,-0.220532306859979,0.453407866666796
429605,,,,-1.39163404686084,-1.18883488100113,-0.240488637080347,0.456575655488291
429606,,,,-1.45723826361579,-0.960348637708716,-0.244225213083298,0.414767505786627
429607,,,,-1.47211594019595,-1.30074956025045,-0.355025786596995,0.465395240840112
429608,,,,-1.49231301173859,-0.940736791780423,-0.36414990297659,0.437578163946106
429609,,,,-1.5125531919731,-1.11066667003444,-0.472098706425947,0.449318712460769
429610,,,,-1.52959213322343,-1.17949519581906,-0.490563511774394,0.465678581625864
429611,,,,-1.54977790186559,-1.22562622733857,-0.134867937106338,-0.228150533028548
429612,,,,-1.5846005653112,-1.17612428805553,0.286965172735917,-0.993138581225291
429613,,,,-1.64648303829731,-1.33442979891049,-0.217812084319787,0.47413136142863
429614,,,,-1.65754295811861,-0.905168356793201,-0.235851739130336,0.48987339033782
429615,,,,-1.57950746502066,-1.27988745626769,-0.23472917662839,0.448351809050094
429616,,,,-1.30429867976343,-1.47200736553607,-0.205498350790148,0.421758652013333
429617,,,,-1.07755646271912,-1.27718606340498,-0.206853654875095,0.477073606298077
429618,,,,-0.924987245374995,-1.22490045244785,-0.209283701956115,0.427610658182254
429619,,,,-0.748225015294018,-0.683116051363721,-0.206364033865714,0.404508033578475
429620,,,,-0.777409472458907,-0.988544124876055,-0.214558867687308,0.455394352118031
429621,,,,-0.749053283103114,-1.01391271981002,-0.19601084709306,0.441266375033224
429622,,,,-0.850144286699561,-1.56063740504037,-0.183799335631738,0.436158092114
429623,,,,-0.865238826225964,-1.19275946978203,-0.186816982877361,0.421638706854746
429624,,,,-0.944033178855745,-1.41159333141144,-0.202066653584601,0.424028787638144
429625,,,,-0.993815950599167,-1.51428487286781,-0.200157414543981,0.436425183688681
429626,,,,-1.09654013186598,-1.52538698994449,-0.202511491221814,0.437866589961873
429627,,,,-1.12681797799818,-1.56277397685718,-0.181447023725296,0.388679920486614
429628,,,,-1.11223772705017,-1.15644939777619,-0.193026467301814,0.395270937698033
429629,,,,-1.16869104134271,-1.23581209022067,-0.179985658388027,0.362811092077295
429630,,,,-1.23144476387201,-1.51935019950134,-0.0269849558323711,0.00981827843071942
429631,,,,-1.26304800088678,-1.05200331748032,-0.214724939012369,0.425357398822903
429632,,,,-1.34227910864776,-1.58620815079233,-0.238945598096212,0.388110986848571
429633,,,,-1.3912552383088,-1.19439489543745,-0.225318155412731,0.470874972693828
429634,,,,-1.42972033563222,-1.05983699112559,-0.0719055895092522,0.106998672259158
